Nr,Locus,Segregation,Phase,Classification,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
23,pPt-457118,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,--,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm
24,stsnp_c1_11230,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,--,--,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,lm,--,ll,--,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm
25,pPt-656549,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm
26,pPt-472401,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,--,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,lm
27,capPt-674504,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,--,lm,lm,lm,ll,lm,ll,lm,lm,lm,lm,lm,lm,ll,--,lm,ll,ll,lm,ll,--,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,--,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,--,ll,ll,--,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,--,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,--,lm,ll,ll,lm,lm,lm,--,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,--,lm,lm,lm,ll,lm,ll,ll,ll,ll,--,lm,lm
28,stsnp_c1_5760,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,--,--,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,--,--,ll,--,--,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,lm
29,toPt-437056,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,--,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,lm
30,pPt-533578,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,lm
31,pPt-534179,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,lm
32,stsnp_c1_3845,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,--,--,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,--,--,ll,--,--,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,lm
33,pPt-471360,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,lm
34,pPt-650006,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,--,ll,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,ll,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,lm
35,pPt-472129,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,ll,lm,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,lm
36,MICRO.10124.C1_261,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,ll,lm,lm,lm,ll,lm,--,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,lm
37,stsnp_c1_15429,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,ll,lm,--,--,lm,ll,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,lm,lm,ll,lm,lm,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,lm,ll,ll,ll,ll,lm,ll,--,ll,--,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,lm
38,pPt-552365,<lmxll>,{0-},"(ll,lm)",ll,lm,ll,lm,ll,--,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,lm
39,pPt-471906,<lmxll>,{0-},"(ll,lm)",ll,lm,ll,lm,ll,--,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,--,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,lm
40,stsnp_c1_1652,<lmxll>,{0-},"(ll,lm)",ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,ll,lm,ll,--,lm,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,--,--,ll,ll,--,ll,ll,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,lm
41,stsnp_c1_1724,<lmxll>,{0-},"(ll,lm)",ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,ll,lm,ll,--,lm,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,ll,--,ll,--,ll,ll,ll,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,lm
42,pPt-456654,<lmxll>,{0-},"(ll,lm)",ll,lm,ll,lm,ll,--,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm,ll,--,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,--,lm,--,--,lm,--,--,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,--,lm,lm,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll,--,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,ll,lm,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,lm
43,stsnp_c1_1748,<lmxll>,{0-},"(ll,lm)",ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,ll,lm,--,--,lm,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,--,--,ll,--,--,ll,ll,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,lm
44,stsnp_c1_1731,<lmxll>,{0-},"(ll,lm)",ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,ll,lm,ll,--,lm,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,lm,lm,--,--,ll,--,--,ll,ll,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,lm
45,stsnp_c1_1577,<lmxll>,{0-},"(ll,lm)",ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,ll,ll,lm,ll,--,lm,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,lm,ll,--,lm,ll,ll,ll,lm,lm,--,--,ll,--,--,ll,ll,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,lm
